subject_1,subject_2,measure,correlation
sub-067,sub-054,FFD,0.2301626601346496
sub-067,sub-078,FFD,0.2064120707737486
sub-067,sub-046,FFD,0.2556602244393795
sub-067,sub-097,FFD,0.25205665894758655
sub-067,sub-079,FFD,0.30357168778324833
sub-067,sub-028,FFD,0.2733308621613589
sub-067,sub-089,FFD,0.2709809166466527
sub-067,sub-109,FFD,0.3190028455636268
sub-067,sub-070,FFD,0.14680839114800281
sub-067,sub-111,FFD,0.22997848481414307
sub-067,sub-073,FFD,0.1822981297879522
sub-067,sub-001,FFD,0.23817948044951828
sub-067,sub-095,FFD,0.24061181155532904
sub-067,sub-012,FFD,0.14818371994133156
sub-067,sub-052,FFD,0.2078872863200576
sub-067,sub-094,FFD,0.20519464122480788
sub-067,sub-088,FFD,0.08772503382735247
sub-067,sub-044,FFD,0.22528856205294734
sub-067,sub-009,FFD,0.1426026511100336
sub-067,sub-041,FFD,0.2976063056508356
sub-067,sub-024,FFD,0.131046565586045
sub-067,sub-016,FFD,0.18287459583693005
sub-067,sub-112,FFD,0.24583335284325888
sub-067,sub-058,FFD,0.1855444548008733
sub-067,sub-018,FFD,0.20093500236108308
sub-067,sub-048,FFD,0.20160125460293915
sub-067,sub-087,FFD,0.1557062078287088
sub-067,sub-091,FFD,0.28104041286614817
sub-067,sub-083,FFD,0.3485385019227139
sub-067,sub-065,FFD,0.2731727291558734
sub-067,sub-077,FFD,0.20867913927382845
sub-067,sub-039,FFD,0.19889823251482655
sub-067,sub-053,FFD,0.15326319401701377
sub-067,sub-075,FFD,0.2457687637956303
sub-067,sub-060,FFD,0.22049620022486394
sub-067,sub-103,FFD,0.1960013710375052
sub-067,sub-105,FFD,0.16161168267302473
sub-067,sub-064,FFD,0.2410637023956658
sub-067,sub-010,FFD,0.03772682753255767
sub-067,sub-034,FFD,0.2847340044689698
sub-067,sub-002,FFD,0.24444581973630303
sub-067,sub-085,FFD,0.21082683320895557
sub-067,sub-021,FFD,0.07424250813102881
sub-067,sub-096,FFD,0.2579398422463987
sub-067,sub-027,FFD,0.21917949484984417
sub-067,sub-006,FFD,0.2196243351479093
sub-067,sub-066,FFD,0.2352468753440043
sub-067,sub-101,FFD,0.18874861486989017
sub-067,sub-042,FFD,0.18593059445879115
sub-067,sub-003,FFD,0.2768273736370729
sub-067,sub-107,FFD,0.2519064117253425
sub-067,sub-098,FFD,0.20316824141954043
sub-067,sub-086,FFD,0.11922493070593736
sub-067,sub-013,FFD,0.25207105545955155
sub-067,sub-068,FFD,0.27903931405622034
sub-054,sub-078,FFD,0.21167995055131683
sub-054,sub-046,FFD,0.1942471539306539
sub-054,sub-097,FFD,0.1670894595536355
sub-054,sub-079,FFD,0.2172802579046202
sub-054,sub-028,FFD,0.2851003107450619
sub-054,sub-089,FFD,0.22135221984675332
sub-054,sub-109,FFD,0.24239260093070758
sub-054,sub-070,FFD,0.15120163931303116
sub-054,sub-111,FFD,0.15169982965960568
sub-054,sub-073,FFD,0.12969166601651078
sub-054,sub-001,FFD,0.13687308529182482
sub-054,sub-095,FFD,0.18774751664444747
sub-054,sub-012,FFD,0.09401291919045879
sub-054,sub-052,FFD,0.24992320315679778
sub-054,sub-094,FFD,0.21184750749630613
sub-054,sub-088,FFD,-0.029206207724734427
sub-054,sub-044,FFD,0.2098080499438391
sub-054,sub-009,FFD,0.13071476888041628
sub-054,sub-041,FFD,0.2624164341818989
sub-054,sub-024,FFD,0.15218223112958607
sub-054,sub-016,FFD,0.24083622187292947
sub-054,sub-112,FFD,0.21593530380040699
sub-054,sub-058,FFD,0.18136504855349714
sub-054,sub-018,FFD,0.10814841873498332
sub-054,sub-048,FFD,0.16550427110628738
sub-054,sub-087,FFD,0.16668275263661445
sub-054,sub-091,FFD,0.20484750293628234
sub-054,sub-083,FFD,0.1979733984242525
sub-054,sub-065,FFD,0.19367232036046073
sub-054,sub-077,FFD,0.09059766723156784
sub-054,sub-039,FFD,0.18068894600656404
sub-054,sub-053,FFD,0.2053515955492598
sub-054,sub-075,FFD,0.1738227536530824
sub-054,sub-060,FFD,0.17335364393172484
sub-054,sub-103,FFD,0.18644629118367223
sub-054,sub-105,FFD,0.13273160953203247
sub-054,sub-064,FFD,0.19227200827715935
sub-054,sub-010,FFD,0.08897062920975306
sub-054,sub-034,FFD,0.27842525591231154
sub-054,sub-002,FFD,0.18289076214601843
sub-054,sub-085,FFD,0.19007171063850525
sub-054,sub-021,FFD,0.17387980554754823
sub-054,sub-096,FFD,0.1797586145829513
sub-054,sub-027,FFD,0.09359845646700224
sub-054,sub-006,FFD,0.18187343470560788
sub-054,sub-066,FFD,0.20637270749579872
sub-054,sub-101,FFD,0.2448322729809066
sub-054,sub-042,FFD,0.19164988581921313
sub-054,sub-003,FFD,0.26258306797425246
sub-054,sub-107,FFD,0.20704075852342363
sub-054,sub-098,FFD,0.25752758216201543
sub-054,sub-086,FFD,0.11455830770187198
sub-054,sub-013,FFD,0.13489563032910026
sub-054,sub-068,FFD,0.19574414913675636
sub-078,sub-046,FFD,0.24780079988160936
sub-078,sub-097,FFD,0.2739712436914094
sub-078,sub-079,FFD,0.2683018084254888
sub-078,sub-028,FFD,0.26242622706419616
sub-078,sub-089,FFD,0.337481864222286
sub-078,sub-109,FFD,0.33076240424013
sub-078,sub-070,FFD,0.18632059335733653
sub-078,sub-111,FFD,0.2848467205888351
sub-078,sub-073,FFD,0.2225541242966309
sub-078,sub-001,FFD,0.24864120512665158
sub-078,sub-095,FFD,0.28797041344622976
sub-078,sub-012,FFD,0.09381526269306753
sub-078,sub-052,FFD,0.2775879648193127
sub-078,sub-094,FFD,0.31545226246687696
sub-078,sub-088,FFD,0.031092877151736417
sub-078,sub-044,FFD,0.23921458449833116
sub-078,sub-009,FFD,0.28334915145320516
sub-078,sub-041,FFD,0.33563845151804356
sub-078,sub-024,FFD,0.12104009893826403
sub-078,sub-016,FFD,0.21920732089621275
sub-078,sub-112,FFD,0.24889924889381096
sub-078,sub-058,FFD,0.21794048174523634
sub-078,sub-018,FFD,0.23931625412463903
sub-078,sub-048,FFD,0.2630516552847558
sub-078,sub-087,FFD,0.2541749566579321
sub-078,sub-091,FFD,0.30911228566008003
sub-078,sub-083,FFD,0.36242441164214917
sub-078,sub-065,FFD,0.2912112531436031
sub-078,sub-077,FFD,0.15780235271143303
sub-078,sub-039,FFD,0.20714927715319506
sub-078,sub-053,FFD,0.1971337881973342
sub-078,sub-075,FFD,0.2912787758105983
sub-078,sub-060,FFD,0.31042275730276014
sub-078,sub-103,FFD,0.26309999211506024
sub-078,sub-105,FFD,0.19226900916238623
sub-078,sub-064,FFD,0.20508008655472468
sub-078,sub-010,FFD,0.11308361124326398
sub-078,sub-034,FFD,0.2940777471743113
sub-078,sub-002,FFD,0.24896041680690892
sub-078,sub-085,FFD,0.28383656538105806
sub-078,sub-021,FFD,0.10539993906400459
sub-078,sub-096,FFD,0.32563224935808244
sub-078,sub-027,FFD,0.1646476572290107
sub-078,sub-006,FFD,0.22149554267911173
sub-078,sub-066,FFD,0.24877407148622266
sub-078,sub-101,FFD,0.24028909623037498
sub-078,sub-042,FFD,0.22316794098399503
sub-078,sub-003,FFD,0.3092284737600986
sub-078,sub-107,FFD,0.24250825071923804
sub-078,sub-098,FFD,0.25100247304300943
sub-078,sub-086,FFD,0.18626768092251572
sub-078,sub-013,FFD,0.20574859912246504
sub-078,sub-068,FFD,0.3243514681838153
sub-046,sub-097,FFD,0.3175827973616875
sub-046,sub-079,FFD,0.32800893751682475
sub-046,sub-028,FFD,0.2893537347145425
sub-046,sub-089,FFD,0.3659136281294092
sub-046,sub-109,FFD,0.3695421538392777
sub-046,sub-070,FFD,0.1515103794858963
sub-046,sub-111,FFD,0.2654684509391521
sub-046,sub-073,FFD,0.2658870519581547
sub-046,sub-001,FFD,0.3267946194413353
sub-046,sub-095,FFD,0.2957472675205
sub-046,sub-012,FFD,0.10261633031112158
sub-046,sub-052,FFD,0.21762850697766217
sub-046,sub-094,FFD,0.1800173487862674
sub-046,sub-088,FFD,0.15418920280088952
sub-046,sub-044,FFD,0.3864494797489834
sub-046,sub-009,FFD,0.34526380392761546
sub-046,sub-041,FFD,0.2750566585682789
sub-046,sub-024,FFD,0.056567416994919406
sub-046,sub-016,FFD,0.12074859308462962
sub-046,sub-112,FFD,0.4147892598104223
sub-046,sub-058,FFD,0.25603006071156015
sub-046,sub-018,FFD,0.17468717442900092
sub-046,sub-048,FFD,0.1608872226665678
sub-046,sub-087,FFD,0.2955896373847095
sub-046,sub-091,FFD,0.3350641146837114
sub-046,sub-083,FFD,0.28870092750329734
sub-046,sub-065,FFD,0.2756604230595421
sub-046,sub-077,FFD,0.15284434748194045
sub-046,sub-039,FFD,0.31896607797051696
sub-046,sub-053,FFD,0.05984977247169552
sub-046,sub-075,FFD,0.22584761353276653
sub-046,sub-060,FFD,0.2872108460373886
sub-046,sub-103,FFD,0.25141729857057493
sub-046,sub-105,FFD,0.10039559293312458
sub-046,sub-064,FFD,0.20947164266430637
sub-046,sub-010,FFD,0.017074923823736602
sub-046,sub-034,FFD,0.15090846127645738
sub-046,sub-002,FFD,0.26846520656444406
sub-046,sub-085,FFD,0.3448805950912162
sub-046,sub-021,FFD,0.29994092022539837
sub-046,sub-096,FFD,0.28698006094979467
sub-046,sub-027,FFD,0.32344272707696936
sub-046,sub-006,FFD,0.37304805740595715
sub-046,sub-066,FFD,0.2950405751197216
sub-046,sub-101,FFD,0.17740327566666403
