item,subject_1,subject_2,measure,correlation
El espejo,sub-067,sub-067,FFD,0.9999999999999998
El espejo,sub-067,sub-054,FFD,0.2301626601346496
El espejo,sub-067,sub-078,FFD,0.2064120707737486
El espejo,sub-067,sub-046,FFD,0.2556602244393795
El espejo,sub-067,sub-097,FFD,0.25205665894758655
El espejo,sub-067,sub-079,FFD,0.30357168778324833
El espejo,sub-067,sub-028,FFD,0.2733308621613589
El espejo,sub-067,sub-089,FFD,0.2709809166466527
El espejo,sub-067,sub-109,FFD,0.3190028455636268
El espejo,sub-067,sub-070,FFD,0.14680839114800281
El espejo,sub-067,sub-111,FFD,0.22997848481414307
El espejo,sub-067,sub-073,FFD,0.1822981297879522
El espejo,sub-067,sub-001,FFD,0.23817948044951828
El espejo,sub-067,sub-095,FFD,0.24061181155532904
El espejo,sub-067,sub-012,FFD,0.14818371994133156
El espejo,sub-067,sub-052,FFD,0.2078872863200576
El espejo,sub-067,sub-094,FFD,0.20519464122480788
El espejo,sub-067,sub-088,FFD,0.08772503382735247
El espejo,sub-067,sub-044,FFD,0.22528856205294734
El espejo,sub-067,sub-009,FFD,0.1426026511100336
El espejo,sub-067,sub-041,FFD,0.2976063056508356
El espejo,sub-067,sub-024,FFD,0.131046565586045
El espejo,sub-067,sub-016,FFD,0.18287459583693005
El espejo,sub-067,sub-112,FFD,0.24583335284325888
El espejo,sub-067,sub-058,FFD,0.1855444548008733
El espejo,sub-067,sub-018,FFD,0.20093500236108308
El espejo,sub-067,sub-048,FFD,0.20160125460293915
El espejo,sub-067,sub-087,FFD,0.1557062078287088
El espejo,sub-067,sub-091,FFD,0.28104041286614817
El espejo,sub-067,sub-083,FFD,0.3485385019227139
El espejo,sub-067,sub-065,FFD,0.2731727291558734
El espejo,sub-067,sub-077,FFD,0.20867913927382845
El espejo,sub-067,sub-039,FFD,0.19889823251482655
El espejo,sub-067,sub-053,FFD,0.15326319401701377
El espejo,sub-067,sub-075,FFD,0.2457687637956303
El espejo,sub-067,sub-060,FFD,0.22049620022486394
El espejo,sub-067,sub-103,FFD,0.1960013710375052
El espejo,sub-067,sub-105,FFD,0.16161168267302473
El espejo,sub-067,sub-064,FFD,0.2410637023956658
El espejo,sub-067,sub-010,FFD,0.03772682753255767
El espejo,sub-067,sub-034,FFD,0.2847340044689698
El espejo,sub-067,sub-002,FFD,0.24444581973630303
El espejo,sub-067,sub-085,FFD,0.21082683320895557
El espejo,sub-067,sub-021,FFD,0.07424250813102881
El espejo,sub-067,sub-096,FFD,0.2579398422463987
El espejo,sub-067,sub-027,FFD,0.21917949484984417
El espejo,sub-067,sub-006,FFD,0.2196243351479093
El espejo,sub-067,sub-066,FFD,0.2352468753440043
El espejo,sub-067,sub-101,FFD,0.18874861486989017
El espejo,sub-067,sub-042,FFD,0.18593059445879115
El espejo,sub-067,sub-003,FFD,0.2768273736370729
El espejo,sub-067,sub-107,FFD,0.2519064117253425
El espejo,sub-067,sub-098,FFD,0.20316824141954043
El espejo,sub-067,sub-086,FFD,0.11922493070593736
El espejo,sub-067,sub-013,FFD,0.25207105545955155
El espejo,sub-067,sub-068,FFD,0.27903931405622034
El espejo,sub-054,sub-067,FFD,0.2301626601346496
El espejo,sub-054,sub-054,FFD,1.0
El espejo,sub-054,sub-078,FFD,0.21167995055131683
El espejo,sub-054,sub-046,FFD,0.1942471539306539
El espejo,sub-054,sub-097,FFD,0.1670894595536355
El espejo,sub-054,sub-079,FFD,0.2172802579046202
El espejo,sub-054,sub-028,FFD,0.2851003107450619
El espejo,sub-054,sub-089,FFD,0.22135221984675332
El espejo,sub-054,sub-109,FFD,0.24239260093070758
El espejo,sub-054,sub-070,FFD,0.15120163931303116
El espejo,sub-054,sub-111,FFD,0.15169982965960568
El espejo,sub-054,sub-073,FFD,0.12969166601651078
El espejo,sub-054,sub-001,FFD,0.13687308529182482
El espejo,sub-054,sub-095,FFD,0.18774751664444747
El espejo,sub-054,sub-012,FFD,0.09401291919045879
El espejo,sub-054,sub-052,FFD,0.24992320315679778
El espejo,sub-054,sub-094,FFD,0.21184750749630613
El espejo,sub-054,sub-088,FFD,-0.029206207724734427
El espejo,sub-054,sub-044,FFD,0.2098080499438391
El espejo,sub-054,sub-009,FFD,0.13071476888041628
El espejo,sub-054,sub-041,FFD,0.2624164341818989
El espejo,sub-054,sub-024,FFD,0.15218223112958607
El espejo,sub-054,sub-016,FFD,0.24083622187292947
El espejo,sub-054,sub-112,FFD,0.21593530380040699
El espejo,sub-054,sub-058,FFD,0.18136504855349714
El espejo,sub-054,sub-018,FFD,0.10814841873498332
El espejo,sub-054,sub-048,FFD,0.16550427110628738
El espejo,sub-054,sub-087,FFD,0.16668275263661445
El espejo,sub-054,sub-091,FFD,0.20484750293628234
El espejo,sub-054,sub-083,FFD,0.1979733984242525
El espejo,sub-054,sub-065,FFD,0.19367232036046073
El espejo,sub-054,sub-077,FFD,0.09059766723156784
El espejo,sub-054,sub-039,FFD,0.18068894600656404
El espejo,sub-054,sub-053,FFD,0.2053515955492598
El espejo,sub-054,sub-075,FFD,0.1738227536530824
El espejo,sub-054,sub-060,FFD,0.17335364393172484
El espejo,sub-054,sub-103,FFD,0.18644629118367223
El espejo,sub-054,sub-105,FFD,0.13273160953203247
El espejo,sub-054,sub-064,FFD,0.19227200827715935
El espejo,sub-054,sub-010,FFD,0.08897062920975306
El espejo,sub-054,sub-034,FFD,0.27842525591231154
El espejo,sub-054,sub-002,FFD,0.18289076214601843
El espejo,sub-054,sub-085,FFD,0.19007171063850525
El espejo,sub-054,sub-021,FFD,0.17387980554754823
El espejo,sub-054,sub-096,FFD,0.1797586145829513
El espejo,sub-054,sub-027,FFD,0.09359845646700224
El espejo,sub-054,sub-006,FFD,0.18187343470560788
El espejo,sub-054,sub-066,FFD,0.20637270749579872
El espejo,sub-054,sub-101,FFD,0.2448322729809066
El espejo,sub-054,sub-042,FFD,0.19164988581921313
El espejo,sub-054,sub-003,FFD,0.26258306797425246
El espejo,sub-054,sub-107,FFD,0.20704075852342363
El espejo,sub-054,sub-098,FFD,0.25752758216201543
El espejo,sub-054,sub-086,FFD,0.11455830770187198
El espejo,sub-054,sub-013,FFD,0.13489563032910026
El espejo,sub-054,sub-068,FFD,0.19574414913675636
El espejo,sub-078,sub-067,FFD,0.20641207077374862
El espejo,sub-078,sub-054,FFD,0.21167995055131686
El espejo,sub-078,sub-078,FFD,0.9999999999999999
El espejo,sub-078,sub-046,FFD,0.24780079988160936
El espejo,sub-078,sub-097,FFD,0.2739712436914094
El espejo,sub-078,sub-079,FFD,0.2683018084254888
El espejo,sub-078,sub-028,FFD,0.26242622706419616
El espejo,sub-078,sub-089,FFD,0.337481864222286
El espejo,sub-078,sub-109,FFD,0.33076240424013
El espejo,sub-078,sub-070,FFD,0.18632059335733653
El espejo,sub-078,sub-111,FFD,0.2848467205888351
El espejo,sub-078,sub-073,FFD,0.2225541242966309
El espejo,sub-078,sub-001,FFD,0.24864120512665158
El espejo,sub-078,sub-095,FFD,0.28797041344622976
El espejo,sub-078,sub-012,FFD,0.09381526269306753
El espejo,sub-078,sub-052,FFD,0.2775879648193127
El espejo,sub-078,sub-094,FFD,0.31545226246687696
El espejo,sub-078,sub-088,FFD,0.031092877151736417
El espejo,sub-078,sub-044,FFD,0.23921458449833116
El espejo,sub-078,sub-009,FFD,0.28334915145320516
El espejo,sub-078,sub-041,FFD,0.33563845151804356
El espejo,sub-078,sub-024,FFD,0.12104009893826403
El espejo,sub-078,sub-016,FFD,0.21920732089621275
El espejo,sub-078,sub-112,FFD,0.24889924889381096
El espejo,sub-078,sub-058,FFD,0.21794048174523634
El espejo,sub-078,sub-018,FFD,0.23931625412463903
El espejo,sub-078,sub-048,FFD,0.2630516552847558
El espejo,sub-078,sub-087,FFD,0.2541749566579321
El espejo,sub-078,sub-091,FFD,0.30911228566008003
El espejo,sub-078,sub-083,FFD,0.36242441164214917
El espejo,sub-078,sub-065,FFD,0.2912112531436031
El espejo,sub-078,sub-077,FFD,0.15780235271143303
El espejo,sub-078,sub-039,FFD,0.20714927715319506
El espejo,sub-078,sub-053,FFD,0.1971337881973342
El espejo,sub-078,sub-075,FFD,0.2912787758105983
El espejo,sub-078,sub-060,FFD,0.31042275730276014
El espejo,sub-078,sub-103,FFD,0.26309999211506024
El espejo,sub-078,sub-105,FFD,0.19226900916238623
El espejo,sub-078,sub-064,FFD,0.20508008655472468
El espejo,sub-078,sub-010,FFD,0.11308361124326398
El espejo,sub-078,sub-034,FFD,0.2940777471743113
El espejo,sub-078,sub-002,FFD,0.24896041680690892
El espejo,sub-078,sub-085,FFD,0.28383656538105806
El espejo,sub-078,sub-021,FFD,0.10539993906400459
El espejo,sub-078,sub-096,FFD,0.32563224935808244
El espejo,sub-078,sub-027,FFD,0.1646476572290107
El espejo,sub-078,sub-006,FFD,0.22149554267911173
El espejo,sub-078,sub-066,FFD,0.24877407148622266
El espejo,sub-078,sub-101,FFD,0.24028909623037498
El espejo,sub-078,sub-042,FFD,0.22316794098399503
El espejo,sub-078,sub-003,FFD,0.3092284737600986
El espejo,sub-078,sub-107,FFD,0.24250825071923804
El espejo,sub-078,sub-098,FFD,0.25100247304300943
El espejo,sub-078,sub-086,FFD,0.18626768092251572
El espejo,sub-078,sub-013,FFD,0.20574859912246504
El espejo,sub-078,sub-068,FFD,0.3243514681838153
El espejo,sub-046,sub-067,FFD,0.2556602244393795
El espejo,sub-046,sub-054,FFD,0.1942471539306539
El espejo,sub-046,sub-078,FFD,0.24780079988160936
El espejo,sub-046,sub-046,FFD,1.0
El espejo,sub-046,sub-097,FFD,0.3175827973616875
El espejo,sub-046,sub-079,FFD,0.32800893751682475
El espejo,sub-046,sub-028,FFD,0.2893537347145425
El espejo,sub-046,sub-089,FFD,0.3659136281294092
El espejo,sub-046,sub-109,FFD,0.3695421538392777
El espejo,sub-046,sub-070,FFD,0.1515103794858963
El espejo,sub-046,sub-111,FFD,0.2654684509391521
El espejo,sub-046,sub-073,FFD,0.2658870519581547
El espejo,sub-046,sub-001,FFD,0.3267946194413353
El espejo,sub-046,sub-095,FFD,0.2957472675205
El espejo,sub-046,sub-012,FFD,0.10261633031112158
El espejo,sub-046,sub-052,FFD,0.21762850697766217
El espejo,sub-046,sub-094,FFD,0.1800173487862674
El espejo,sub-046,sub-088,FFD,0.15418920280088952
El espejo,sub-046,sub-044,FFD,0.3864494797489834
El espejo,sub-046,sub-009,FFD,0.34526380392761546
El espejo,sub-046,sub-041,FFD,0.2750566585682789
El espejo,sub-046,sub-024,FFD,0.056567416994919406
El espejo,sub-046,sub-016,FFD,0.12074859308462962
El espejo,sub-046,sub-112,FFD,0.4147892598104223
El espejo,sub-046,sub-058,FFD,0.25603006071156015
El espejo,sub-046,sub-018,FFD,0.17468717442900092
El espejo,sub-046,sub-048,FFD,0.1608872226665678
El espejo,sub-046,sub-087,FFD,0.2955896373847095
El espejo,sub-046,sub-091,FFD,0.3350641146837114
El espejo,sub-046,sub-083,FFD,0.28870092750329734
El espejo,sub-046,sub-065,FFD,0.2756604230595421
El espejo,sub-046,sub-077,FFD,0.15284434748194045
El espejo,sub-046,sub-039,FFD,0.31896607797051696
El espejo,sub-046,sub-053,FFD,0.05984977247169552
El espejo,sub-046,sub-075,FFD,0.22584761353276653
El espejo,sub-046,sub-060,FFD,0.2872108460373886
El espejo,sub-046,sub-103,FFD,0.25141729857057493
El espejo,sub-046,sub-105,FFD,0.10039559293312458
El espejo,sub-046,sub-064,FFD,0.20947164266430637
El espejo,sub-046,sub-010,FFD,0.017074923823736602
El espejo,sub-046,sub-034,FFD,0.15090846127645738
El espejo,sub-046,sub-002,FFD,0.26846520656444406
El espejo,sub-046,sub-085,FFD,0.3448805950912162
El espejo,sub-046,sub-021,FFD,0.29994092022539837
El espejo,sub-046,sub-096,FFD,0.28698006094979467
El espejo,sub-046,sub-027,FFD,0.32344272707696936
El espejo,sub-046,sub-006,FFD,0.37304805740595715
El espejo,sub-046,sub-066,FFD,0.2950405751197216
El espejo,sub-046,sub-101,FFD,0.17740327566666403
El espejo,sub-046,sub-042,FFD,0.3731460693737295
El espejo,sub-046,sub-003,FFD,0.3467268967597049
El espejo,sub-046,sub-107,FFD,0.3236822384556686
El espejo,sub-046,sub-098,FFD,0.20362173013987794
El espejo,sub-046,sub-086,FFD,0.08073480615239227
El espejo,sub-046,sub-013,FFD,0.20989521965672508
El espejo,sub-046,sub-068,FFD,0.24290892398891492
El espejo,sub-097,sub-067,FFD,0.25205665894758655
El espejo,sub-097,sub-054,FFD,0.16708945955363552
El espejo,sub-097,sub-078,FFD,0.2739712436914094
El espejo,sub-097,sub-046,FFD,0.3175827973616875
El espejo,sub-097,sub-097,FFD,0.9999999999999998
El espejo,sub-097,sub-079,FFD,0.3979937807570342
El espejo,sub-097,sub-028,FFD,0.34127333555443756
El espejo,sub-097,sub-089,FFD,0.4280976861469739
El espejo,sub-097,sub-109,FFD,0.4526640862591128
El espejo,sub-097,sub-070,FFD,0.16423875958680265
El espejo,sub-097,sub-111,FFD,0.3065790371120888
El espejo,sub-097,sub-073,FFD,0.3110730155125273
El espejo,sub-097,sub-001,FFD,0.37984463478708824
El espejo,sub-097,sub-095,FFD,0.3547047846025204
El espejo,sub-097,sub-012,FFD,0.1301795111840622
El espejo,sub-097,sub-052,FFD,0.24307966166177508
El espejo,sub-097,sub-094,FFD,0.26889053010531033
El espejo,sub-097,sub-088,FFD,0.10857393333914767
El espejo,sub-097,sub-044,FFD,0.3866746101332041
El espejo,sub-097,sub-009,FFD,0.2527295182257567
El espejo,sub-097,sub-041,FFD,0.3584740567892895
El espejo,sub-097,sub-024,FFD,0.18275585014820458
El espejo,sub-097,sub-016,FFD,0.17073235818766574
El espejo,sub-097,sub-112,FFD,0.3641070324331824
El espejo,sub-097,sub-058,FFD,0.3628807882311259
El espejo,sub-097,sub-018,FFD,0.2104322188457911
El espejo,sub-097,sub-048,FFD,0.24548635982641442
El espejo,sub-097,sub-087,FFD,0.36202654112166904
El espejo,sub-097,sub-091,FFD,0.38480877361804716
El espejo,sub-097,sub-083,FFD,0.42182360300733945
El espejo,sub-097,sub-065,FFD,0.36509861527499976
El espejo,sub-097,sub-077,FFD,0.17100348212495559
El espejo,sub-097,sub-039,FFD,0.27534502101915165
El espejo,sub-097,sub-053,FFD,0.1183925122272745
El espejo,sub-097,sub-075,FFD,0.25189490793108466
El espejo,sub-097,sub-060,FFD,0.3331773652819516
El espejo,sub-097,sub-103,FFD,0.32472300985806346
El espejo,sub-097,sub-105,FFD,0.2210898402144479
El espejo,sub-097,sub-064,FFD,0.18958734044062112
El espejo,sub-097,sub-010,FFD,0.06486566808096644
El espejo,sub-097,sub-034,FFD,0.337059442591143
