cue,answer,n,freq
realidad,ficcion,11,0.1864406779661017
realidad,virtual,7,0.11864406779661017
realidad,mentira,5,0.0847457627118644
realidad,alterada,3,0.05084745762711865
realidad,imaginacion,2,0.03389830508474576
realidad,aumentada,2,0.03389830508474576
realidad,presente,2,0.03389830508474576
realidad,verdad,2,0.03389830508474576
realidad,falso,2,0.03389830508474576
realidad,falsa,2,0.03389830508474576
realidad,caida,1,0.01694915254237288
realidad,vida,1,0.01694915254237288
realidad,frontal,1,0.01694915254237288
realidad,distorsion,1,0.01694915254237288
realidad,interpretacion,1,0.01694915254237288
realidad,farsa,1,0.01694915254237288
realidad,paralela,1,0.01694915254237288
realidad,real,1,0.01694915254237288
realidad,oscura,1,0.01694915254237288
realidad,alternativa,1,0.01694915254237288
realidad,digna,1,0.01694915254237288
realidad,fuerte,1,0.01694915254237288
realidad,primavera,1,0.01694915254237288
realidad,escandalosa,1,0.01694915254237288
realidad,cuadrado,1,0.01694915254237288
realidad,hoy,1,0.01694915254237288
realidad,distorcionada,1,0.01694915254237288
realidad,fantasia,1,0.01694915254237288
realidad,cruel,1,0.01694915254237288
realidad,telar,1,0.01694915254237288
realidad,ilusion,1,0.01694915254237288
familia,unida,6,0.1016949152542373
familia,amor,5,0.0847457627118644
familia,amigos,5,0.0847457627118644
familia,grande,4,0.06779661016949153
familia,padres,3,0.05084745762711865
familia,hogar,3,0.05084745762711865
familia,numerosa,3,0.05084745762711865
familia,pareja,2,0.03389830508474576
familia,hermanos,2,0.03389830508474576
familia,madre,2,0.03389830508474576
familia,mama,2,0.03389830508474576
familia,nucleo,1,0.01694915254237288
familia,rota,1,0.01694915254237288
familia,partida,1,0.01694915254237288
familia,matrimonio,1,0.01694915254237288
familia,graciosa,1,0.01694915254237288
familia,nuclear,1,0.01694915254237288
familia,unidos,1,0.01694915254237288
familia,incompleta,1,0.01694915254237288
familia,mentira,1,0.01694915254237288
familia,vinculo,1,0.01694915254237288
familia,hijos,1,0.01694915254237288
familia,añor,1,0.01694915254237288
familia,casa,1,0.01694915254237288
familia,hermano,1,0.01694915254237288
familia,abrazo,1,0.01694915254237288
familia,union,1,0.01694915254237288
familia,auto,1,0.01694915254237288
familia,persona,1,0.01694915254237288
familia,poderosa,1,0.01694915254237288
familia,guanacos,1,0.01694915254237288
familia,pariente,1,0.01694915254237288
familia,nueva,1,0.01694915254237288
miedo,terror,7,0.11864406779661017
miedo,susto,6,0.1016949152542373
miedo,temor,4,0.06779661016949153
miedo,muerte,3,0.05084745762711865
miedo,oscuro,3,0.05084745762711865
miedo,oscuridad,3,0.05084745762711865
miedo,panico,2,0.03389830508474576
miedo,fantasma,2,0.03389830508474576
miedo,ansiedad,1,0.01694915254237288
miedo,luz,1,0.01694915254237288
miedo,valor,1,0.01694915254237288
miedo,feroz,1,0.01694915254237288
miedo,funebre,1,0.01694915254237288
miedo,profundo,1,0.01694915254237288
miedo,dificultad,1,0.01694915254237288
miedo,confusión,1,0.01694915254237288
miedo,espanto,1,0.01694915254237288
miedo,tengo,1,0.01694915254237288
miedo,horror,1,0.01694915254237288
miedo,terrible,1,0.01694915254237288
miedo,fear,1,0.01694915254237288
miedo,tristeza,1,0.01694915254237288
miedo,asustado,1,0.01694915254237288
miedo,terrror,1,0.01694915254237288
miedo,negro,1,0.01694915254237288
miedo,pinchazos,1,0.01694915254237288
miedo,inminente,1,0.01694915254237288
miedo,dolor,1,0.01694915254237288
miedo,pavor,1,0.01694915254237288
miedo,sentimiento,1,0.01694915254237288
miedo,desconocido,1,0.01694915254237288
miedo,morir,1,0.01694915254237288
miedo,ajeno,1,0.01694915254237288
miedo,letal,1,0.01694915254237288
miedo,realidad,1,0.01694915254237288
miedo,colmillo,1,0.01694915254237288
miedo,visceral,1,0.01694915254237288
trabajo,duro,4,0.06779661016949153
trabajo,esfuerzo,4,0.06779661016949153
trabajo,digno,3,0.05084745762711865
trabajo,oficina,3,0.05084745762711865
trabajo,arduo,3,0.05084745762711865
trabajo,dinero,3,0.05084745762711865
trabajo,plata,3,0.05084745762711865
trabajo,aburrido,2,0.03389830508474576
trabajo,maletin,2,0.03389830508474576
trabajo,empleo,2,0.03389830508474576
trabajo,mucho,2,0.03389830508474576
trabajo,justicia,1,0.01694915254237288
trabajo,obligacion,1,0.01694915254237288
trabajo,pala,1,0.01694915254237288
trabajo,navio,1,0.01694915254237288
trabajo,tejer,1,0.01694915254237288
trabajo,horario,1,0.01694915254237288
trabajo,informal,1,0.01694915254237288
trabajo,competencia,1,0.01694915254237288
trabajo,actual,1,0.01694915254237288
trabajo,descanso,1,0.01694915254237288
trabajo,escritorio,1,0.01694915254237288
trabajo,imbecil,1,0.01694915254237288
trabajo,malo,1,0.01694915254237288
trabajo,obligaciones,1,0.01694915254237288
trabajo,arriba,1,0.01694915254237288
trabajo,suerte,1,0.01694915254237288
trabajo,lunes,1,0.01694915254237288
trabajo,estudio,1,0.01694915254237288
trabajo,designado,1,0.01694915254237288
trabajo,oficio,1,0.01694915254237288
trabajo,empleado,1,0.01694915254237288
trabajo,tiempo,1,0.01694915254237288
trabajo,responsabilidad,1,0.01694915254237288
trabajo,ley,1,0.01694915254237288
trabajo,maleta,1,0.01694915254237288
trabajo,forzoso,1,0.01694915254237288
trabajo,rojo,1,0.01694915254237288
trabajo,elegante,1,0.01694915254237288
sentido,comun,10,0.1694915254237288
sentido,humor,6,0.1016949152542373
sentido,olfato,3,0.05084745762711865
sentido,razon,3,0.05084745762711865
sentido,vista,2,0.03389830508474576
sentido,horario,2,0.03389830508474576
sentido,tacto,2,0.03389830508474576
sentido,vida,2,0.03389830508474576
sentido,necesario,1,0.01694915254237288
