story,n_subjects,subjects
El almohadón de plumas,61,"sub-001, sub-002, sub-003, sub-005, sub-006, sub-009, sub-010, sub-012, sub-013, sub-016, sub-018, sub-021, sub-024, sub-027, sub-028, sub-034, sub-036, sub-039, sub-041, sub-042, sub-044, sub-046, sub-048, sub-052, sub-053, sub-054, sub-058, sub-060, sub-064, sub-065, sub-066, sub-067, sub-068, sub-070, sub-073, sub-075, sub-076, sub-077, sub-078, sub-079, sub-082, sub-083, sub-085, sub-086, sub-087, sub-088, sub-089, sub-091, sub-093, sub-094, sub-095, sub-096, sub-097, sub-098, sub-101, sub-103, sub-105, sub-107, sub-109, sub-111, sub-112"
La lluvia de fuego,61,"sub-001, sub-002, sub-003, sub-005, sub-006, sub-009, sub-010, sub-012, sub-013, sub-016, sub-018, sub-021, sub-024, sub-027, sub-028, sub-034, sub-036, sub-039, sub-041, sub-042, sub-044, sub-046, sub-048, sub-052, sub-053, sub-054, sub-058, sub-060, sub-064, sub-065, sub-066, sub-067, sub-068, sub-070, sub-073, sub-075, sub-076, sub-077, sub-078, sub-079, sub-082, sub-083, sub-085, sub-086, sub-087, sub-088, sub-089, sub-091, sub-093, sub-094, sub-095, sub-096, sub-097, sub-098, sub-101, sub-103, sub-105, sub-107, sub-109, sub-111, sub-112"
La salud de los enfermos,61,"sub-001, sub-002, sub-003, sub-005, sub-006, sub-009, sub-010, sub-012, sub-013, sub-016, sub-018, sub-021, sub-024, sub-027, sub-028, sub-034, sub-036, sub-039, sub-041, sub-042, sub-044, sub-046, sub-048, sub-052, sub-053, sub-054, sub-058, sub-060, sub-064, sub-065, sub-066, sub-067, sub-068, sub-070, sub-073, sub-075, sub-076, sub-077, sub-078, sub-079, sub-082, sub-083, sub-085, sub-086, sub-087, sub-088, sub-089, sub-091, sub-093, sub-094, sub-095, sub-096, sub-097, sub-098, sub-101, sub-103, sub-105, sub-107, sub-109, sub-111, sub-112"
Wakefield,61,"sub-001, sub-002, sub-003, sub-005, sub-006, sub-009, sub-010, sub-012, sub-013, sub-016, sub-018, sub-021, sub-024, sub-027, sub-028, sub-034, sub-036, sub-039, sub-041, sub-042, sub-044, sub-046, sub-048, sub-052, sub-053, sub-054, sub-058, sub-060, sub-064, sub-065, sub-066, sub-067, sub-068, sub-070, sub-073, sub-075, sub-076, sub-077, sub-078, sub-079, sub-082, sub-083, sub-085, sub-086, sub-087, sub-088, sub-089, sub-091, sub-093, sub-094, sub-095, sub-096, sub-097, sub-098, sub-101, sub-103, sub-105, sub-107, sub-109, sub-111, sub-112"
El espejo,60,"sub-001, sub-002, sub-003, sub-005, sub-006, sub-009, sub-010, sub-012, sub-013, sub-016, sub-018, sub-021, sub-024, sub-027, sub-028, sub-034, sub-036, sub-039, sub-041, sub-042, sub-044, sub-046, sub-048, sub-052, sub-053, sub-054, sub-058, sub-060, sub-064, sub-065, sub-066, sub-067, sub-068, sub-070, sub-073, sub-075, sub-076, sub-077, sub-078, sub-079, sub-083, sub-085, sub-086, sub-087, sub-088, sub-089, sub-091, sub-093, sub-094, sub-095, sub-096, sub-097, sub-098, sub-101, sub-103, sub-105, sub-107, sub-109, sub-111, sub-112"
La canción que cantábamos todos los días,60,"sub-001, sub-002, sub-003, sub-005, sub-006, sub-009, sub-010, sub-012, sub-013, sub-016, sub-018, sub-021, sub-024, sub-027, sub-028, sub-034, sub-036, sub-039, sub-041, sub-042, sub-044, sub-046, sub-048, sub-052, sub-053, sub-054, sub-058, sub-060, sub-064, sub-065, sub-066, sub-067, sub-068, sub-070, sub-073, sub-075, sub-076, sub-077, sub-078, sub-079, sub-082, sub-083, sub-085, sub-086, sub-087, sub-088, sub-089, sub-091, sub-093, sub-095, sub-096, sub-097, sub-098, sub-101, sub-103, sub-105, sub-107, sub-109, sub-111, sub-112"
La gallina degollada,60,"sub-001, sub-002, sub-003, sub-005, sub-006, sub-009, sub-010, sub-012, sub-013, sub-016, sub-018, sub-021, sub-024, sub-027, sub-028, sub-034, sub-036, sub-039, sub-041, sub-042, sub-044, sub-046, sub-048, sub-052, sub-053, sub-054, sub-058, sub-060, sub-064, sub-065, sub-066, sub-067, sub-068, sub-070, sub-073, sub-075, sub-076, sub-077, sub-078, sub-079, sub-082, sub-083, sub-085, sub-086, sub-087, sub-088, sub-089, sub-091, sub-093, sub-095, sub-096, sub-097, sub-098, sub-101, sub-103, sub-105, sub-107, sub-109, sub-111, sub-112"
Rubí y el lago danzante,60,"sub-001, sub-002, sub-003, sub-005, sub-006, sub-009, sub-010, sub-012, sub-013, sub-018, sub-021, sub-024, sub-027, sub-028, sub-034, sub-036, sub-039, sub-041, sub-042, sub-044, sub-046, sub-048, sub-052, sub-053, sub-054, sub-058, sub-060, sub-064, sub-065, sub-066, sub-067, sub-068, sub-070, sub-073, sub-075, sub-076, sub-077, sub-078, sub-079, sub-082, sub-083, sub-085, sub-086, sub-087, sub-088, sub-089, sub-091, sub-093, sub-094, sub-095, sub-096, sub-097, sub-098, sub-101, sub-103, sub-105, sub-107, sub-109, sub-111, sub-112"
Una rosa para Emilia,60,"sub-001, sub-002, sub-003, sub-005, sub-006, sub-009, sub-010, sub-012, sub-013, sub-016, sub-018, sub-021, sub-024, sub-027, sub-028, sub-034, sub-036, sub-039, sub-041, sub-042, sub-044, sub-046, sub-048, sub-052, sub-053, sub-054, sub-058, sub-060, sub-064, sub-065, sub-066, sub-067, sub-068, sub-070, sub-073, sub-075, sub-076, sub-077, sub-078, sub-079, sub-082, sub-083, sub-085, sub-086, sub-087, sub-088, sub-089, sub-091, sub-093, sub-094, sub-095, sub-096, sub-097, sub-098, sub-103, sub-105, sub-107, sub-109, sub-111, sub-112"
"Ahora debería reírme, si no estuviera muerto",59,"sub-001, sub-002, sub-003, sub-005, sub-006, sub-009, sub-010, sub-012, sub-013, sub-016, sub-018, sub-021, sub-024, sub-027, sub-028, sub-034, sub-036, sub-039, sub-041, sub-042, sub-044, sub-046, sub-048, sub-052, sub-053, sub-054, sub-058, sub-060, sub-064, sub-065, sub-066, sub-067, sub-068, sub-070, sub-073, sub-075, sub-076, sub-077, sub-078, sub-079, sub-083, sub-085, sub-086, sub-087, sub-088, sub-089, sub-091, sub-093, sub-095, sub-096, sub-097, sub-098, sub-101, sub-103, sub-105, sub-107, sub-109, sub-111, sub-112"
Buenos Aires,54,"sub-003, sub-006, sub-007, sub-008, sub-009, sub-010, sub-011, sub-013, sub-016, sub-017, sub-018, sub-021, sub-022, sub-027, sub-030, sub-034, sub-035, sub-036, sub-039, sub-048, sub-052, sub-053, sub-054, sub-055, sub-056, sub-058, sub-060, sub-065, sub-066, sub-068, sub-070, sub-071, sub-073, sub-075, sub-077, sub-078, sub-080, sub-081, sub-083, sub-085, sub-086, sub-087, sub-090, sub-091, sub-095, sub-096, sub-097, sub-100, sub-103, sub-105, sub-106, sub-109, sub-111, sub-112"
El golpe de gracia,54,"sub-003, sub-006, sub-007, sub-008, sub-009, sub-010, sub-011, sub-013, sub-016, sub-017, sub-018, sub-021, sub-022, sub-027, sub-030, sub-034, sub-035, sub-036, sub-039, sub-048, sub-052, sub-053, sub-054, sub-055, sub-056, sub-058, sub-060, sub-065, sub-066, sub-068, sub-070, sub-071, sub-073, sub-075, sub-077, sub-078, sub-080, sub-081, sub-083, sub-085, sub-086, sub-087, sub-090, sub-091, sub-095, sub-096, sub-097, sub-100, sub-103, sub-105, sub-106, sub-109, sub-111, sub-112"
La de la Obsesión por la Patineta,54,"sub-003, sub-006, sub-007, sub-008, sub-009, sub-010, sub-011, sub-013, sub-016, sub-017, sub-018, sub-021, sub-022, sub-027, sub-030, sub-034, sub-035, sub-036, sub-039, sub-048, sub-052, sub-053, sub-054, sub-055, sub-056, sub-058, sub-060, sub-065, sub-066, sub-068, sub-070, sub-071, sub-073, sub-075, sub-077, sub-078, sub-080, sub-081, sub-083, sub-085, sub-086, sub-087, sub-090, sub-091, sub-095, sub-096, sub-097, sub-100, sub-103, sub-105, sub-106, sub-109, sub-111, sub-112"
Embarrar la magia,53,"sub-003, sub-006, sub-007, sub-008, sub-009, sub-010, sub-011, sub-013, sub-017, sub-018, sub-021, sub-022, sub-027, sub-030, sub-034, sub-035, sub-036, sub-039, sub-048, sub-052, sub-053, sub-054, sub-055, sub-056, sub-058, sub-060, sub-065, sub-066, sub-068, sub-070, sub-071, sub-073, sub-075, sub-077, sub-078, sub-080, sub-081, sub-083, sub-085, sub-086, sub-087, sub-090, sub-091, sub-095, sub-096, sub-097, sub-100, sub-103, sub-105, sub-106, sub-109, sub-111, sub-112"
La máscara de la Muerte Roja,53,"sub-003, sub-006, sub-007, sub-008, sub-009, sub-010, sub-011, sub-013, sub-017, sub-018, sub-021, sub-022, sub-027, sub-030, sub-034, sub-035, sub-036, sub-039, sub-048, sub-052, sub-053, sub-054, sub-055, sub-056, sub-058, sub-060, sub-065, sub-066, sub-068, sub-070, sub-071, sub-073, sub-075, sub-077, sub-078, sub-080, sub-081, sub-083, sub-085, sub-086, sub-087, sub-090, sub-091, sub-095, sub-096, sub-097, sub-100, sub-103, sub-105, sub-106, sub-109, sub-111, sub-112"
La noche de los feos,53,"sub-003, sub-006, sub-007, sub-008, sub-009, sub-010, sub-011, sub-013, sub-017, sub-018, sub-021, sub-022, sub-027, sub-030, sub-034, sub-035, sub-036, sub-039, sub-048, sub-052, sub-053, sub-054, sub-055, sub-056, sub-058, sub-060, sub-065, sub-066, sub-068, sub-070, sub-071, sub-073, sub-075, sub-077, sub-078, sub-080, sub-081, sub-083, sub-085, sub-086, sub-087, sub-090, sub-091, sub-095, sub-096, sub-097, sub-100, sub-103, sub-105, sub-106, sub-109, sub-111, sub-112"
